"Nom de l'annonce","Produit","Créateur","Type de contenu","Angle marketing","Hook","Audience","Mois","Nom Ad Set","Nom Campagne","Statut","Date de lancement","Personnes touchées","Impressions","Fréquence","Clics","Conversions (achats)","Budget dépensé (€)","Revenu estimé (€)","ROAS","CPM (€)","Coût par clic (€)","Taux de clic (%)","Coût par conversion (€)","Taux de conversion (%)","Hook rate (%)","Panier moyen (€)","Lien aperçu","ID Ad Set","ID Annonce"
"Omega-3 - UGC - Je ne peux plus m'en passer... - 384","Omega-3","Ethan_Fuel","UGC","Performance sportive","Je ne peux plus m'en passer","18-24 ans Étudiants","Octobre 2025","18-24 ans Étudiants - Omega-3","Campagne Omega-3 Octobre 2025","En ligne","2025-10-01","24093","39339","1.63","1846","12","1964.78","855.51","0.44","49.94","1.06","4.69","163.73","0.65","44.07","71.29","https://www.facebook.com/ads/library/?id=ad_516106","as_369078","ad_516106"
"AG1 Powder - UGC - Les 3 raisons pour lesquelles ... - 385","AG1 Powder","Ethan_Fuel","UGC","Nutrition optimale","Les 3 raisons pour lesquelles j'adore","Intérêt Nutrition","Octobre 2025","Intérêt Nutrition - AG1 Powder","Campagne AG1 Powder Octobre 2025","Archivée","2025-10-15","291413","417327","1.43","2157","81","4877.98","6096.40","1.25","11.69","2.26","0.52","60.22","3.76","15.82","75.26","https://www.facebook.com/ads/library/?id=ad_773943","as_810905","ad_773943"
"Vitamine D3+K2 - UGC - Je ne peux plus m'en passer... - 386","Vitamine D3+K2","Ethan_Fuel","UGC","Anti-fatigue","Je ne peux plus m'en passer","45-54 ans Wellness","Septembre 2025","45-54 ans Wellness - Vitamine D3+K2","Campagne Vitamine D3+K2 Septembre 2025","Archivée","2025-09-07","315897","375004","1.19","1772","115","3302.64","7565.45","2.29","8.81","1.86","0.47","28.72","6.49","33.6","65.79","https://www.facebook.com/ads/library/?id=ad_316338","as_836800","ad_316338"
"Abonnement - Image statique - Les 3 raisons pour lesquelles ... - 387","Abonnement","Lily_Nutrition","Image statique","Bien-être général","Les 3 raisons pour lesquelles j'adore","35-44 ans Santé","Août 2025","35-44 ans Santé - Abonnement","Campagne Abonnement Août 2025","Arrêtée","2025-08-28","81750","125024","1.53","1754","160","1785.15","17201.48","9.64","14.28","1.02","1.4","11.16","9.12","21.57","107.51","https://www.facebook.com/ads/library/?id=ad_905846","as_761270","ad_905846"
"AG1 Powder - Podcast - Je ne peux plus m'en passer... - 388","AG1 Powder","Lily_Nutrition","Podcast","Anti-fatigue","Je ne peux plus m'en passer","25-34 ans Fitness","Juillet 2025","25-34 ans Fitness - AG1 Powder","Campagne AG1 Powder Juillet 2025","En ligne","2025-07-16","77518","104799","1.35","4576","635","473.78","88807.31","187.44","4.52","0.1","4.37","0.75","13.88","25.24","139.85","https://www.facebook.com/ads/library/?id=ad_983269","as_743542","ad_983269"
"Vitamine D3+K2 - Motion/Vidéo - Le matin parfait commence par.... - 389","Vitamine D3+K2","Sophia_Wellness","Motion/Vidéo","Anti-fatigue","Le matin parfait commence par...","25-34 ans Fitness","Juillet 2025","25-34 ans Fitness - Vitamine D3+K2","Campagne Vitamine D3+K2 Juillet 2025","En pause","2025-07-23","229291","289210","1.26","12227","1027","2979.29","93368.38","31.34","10.3","0.24","4.23","2.9","8.4","58.22","90.91","https://www.facebook.com/ads/library/?id=ad_285389","as_580480","ad_285389"
"AG1 Travel Packs - Motion/Vidéo - Les 3 raisons pour lesquelles ... - 390","AG1 Travel Packs","Marcus_Fit","Motion/Vidéo","Bien-être général","Les 3 raisons pour lesquelles j'adore","45-54 ans Wellness","Juillet 2025","45-54 ans Wellness - AG1 Travel Packs","Campagne AG1 Travel Packs Juillet 2025","Archivée","2025-07-02","308020","445372","1.45","6791","975","776.56","143946.21","185.36","1.74","0.11","1.52","0.8","14.36","50.49","147.64","https://www.facebook.com/ads/library/?id=ad_587598","as_640370","ad_587598"
"AG1 Powder - Motion/Vidéo - Le seul complément dont j'ai b... - 391","AG1 Powder","—","Motion/Vidéo","Immunité renforcée","Le seul complément dont j'ai besoin","35-44 ans Santé","Novembre 2025","35-44 ans Santé - AG1 Powder","Campagne AG1 Powder Novembre 2025","En pause","2025-11-23","158510","184485","1.16","4254","251","3108.22","21840.20","7.03","16.85","0.73","2.31","12.38","5.9","22.25","87.01","https://www.facebook.com/ads/library/?id=ad_753569","as_989164","ad_753569"
"Shaker - Motion/Vidéo - Le matin parfait commence par.... - 392","Shaker","Ava_Balance","Motion/Vidéo","Anti-fatigue","Le matin parfait commence par...","Broad FR","Novembre 2025","Broad FR - Shaker","Campagne Shaker Novembre 2025","Archivée","2025-11-18","37237","60709","1.63","2464","207","1030.11","16334.42","15.86","16.97","0.42","4.06","4.98","8.4","55.6","78.91","https://www.facebook.com/ads/library/?id=ad_181264","as_601622","ad_181264"
"AG1 Powder - Témoignage - Ce que je prends chaque matin... - 393","AG1 Powder","Lily_Nutrition","Témoignage","Bien-être général","Ce que je prends chaque matin","Intérêt Nutrition","Octobre 2025","Intérêt Nutrition - AG1 Powder","Campagne AG1 Powder Octobre 2025","Archivée","2025-10-26","348014","462896","1.33","1411","142","833.04","15150.22","18.19","1.8","0.59","0.3","5.87","10.06","35.81","106.69","https://www.facebook.com/ads/library/?id=ad_884228","as_210802","ad_884228"
"Vitamine D3+K2 - Podcast - Je ne peux plus m'en passer... - 394","Vitamine D3+K2","Lily_Nutrition","Podcast","Bien-être général","Je ne peux plus m'en passer","35-44 ans Santé","Novembre 2025","35-44 ans Santé - Vitamine D3+K2","Campagne Vitamine D3+K2 Novembre 2025","Arrêtée","2025-11-01","118237","178905","1.51","3560","149","3351.58","20815.95","6.21","18.73","0.94","1.99","22.49","4.19","25.1","139.70","https://www.facebook.com/ads/library/?id=ad_905549","as_807478","ad_905549"
"AG1 Powder - Image statique - 30 jours de transformation... - 395","AG1 Powder","Mia_Mindful","Image statique","Performance sportive","30 jours de transformation","LAL Purchasers","Juillet 2025","LAL Purchasers - AG1 Powder","Campagne AG1 Powder Juillet 2025","En ligne","2025-07-01","320315","489781","1.53","17770","1040","295.61","111794.92","378.19","0.6","0.02","3.63","0.28","5.85","19.02","107.50","https://www.facebook.com/ads/library/?id=ad_498245","as_607066","ad_498245"
"AG1 Powder - Podcast - Le seul complément dont j'ai b... - 396","AG1 Powder","Chloe_Clean","Podcast","Nutrition optimale","Le seul complément dont j'ai besoin","45-54 ans Wellness","Novembre 2025","45-54 ans Wellness - AG1 Powder","Campagne AG1 Powder Novembre 2025","En pause","2025-11-19","216241","303510","1.4","9775","822","4102.32","106936.21","26.07","13.52","0.42","3.22","4.99","8.41","36.78","130.09","https://www.facebook.com/ads/library/?id=ad_274920","as_383867","ad_274920"
"AG1 Powder - UGC - Pourquoi j'ai changé d'avis su... - 397","AG1 Powder","Lucas_Active","UGC","Anti-fatigue","Pourquoi j'ai changé d'avis sur les compléments","45-54 ans Wellness","Novembre 2025","45-54 ans Wellness - AG1 Powder","Campagne AG1 Powder Novembre 2025","Arrêtée","2025-11-19","42316","50895","1.2","2062","243","1681.45","23309.66","13.86","33.04","0.82","4.05","6.92","11.78","46.22","95.92","https://www.facebook.com/ads/library/?id=ad_793633","as_441911","ad_793633"
"Omega-3 - Podcast - Les 3 raisons pour lesquelles ... - 398","Omega-3","Chris_Endurance","Podcast","Anti-fatigue","Les 3 raisons pour lesquelles j'adore","Intérêt Nutrition","Septembre 2025","Intérêt Nutrition - Omega-3","Campagne Omega-3 Septembre 2025","En ligne","2025-09-23","315467","372142","1.18","8185","505","1817.36","69977.61","38.51","4.88","0.22","2.2","3.6","6.17","24.99","138.57","https://www.facebook.com/ads/library/?id=ad_381510","as_720958","ad_381510"
"Vitamine D3+K2 - Témoignage - Le matin parfait commence par.... - 399","Vitamine D3+K2","Lucas_Active","Témoignage","Immunité renforcée","Le matin parfait commence par...","35-44 ans Santé","Septembre 2025","35-44 ans Santé - Vitamine D3+K2","Campagne Vitamine D3+K2 Septembre 2025","Archivée","2025-09-13","167417","244934","1.46","2302","76","2326.67","10845.69","4.66","9.5","1.01","0.94","30.61","3.3","52.17","142.71","https://www.facebook.com/ads/library/?id=ad_250636","as_934458","ad_250636"
"Bundle Complet - UGC - 30 jours de transformation... - 400","Bundle Complet","Noah_Vitality","UGC","Anti-fatigue","30 jours de transformation","Broad FR","Octobre 2025","Broad FR - Bundle Complet","Campagne Bundle Complet Octobre 2025","En pause","2025-10-06","208149","312589","1.5","3147","191","3877.15","23513.94","6.06","12.4","1.23","1.01","20.3","6.07","47.51","123.11","https://www.facebook.com/ads/library/?id=ad_973330","as_874214","ad_973330"
"Bundle Complet - Motion/Vidéo - Je ne peux plus m'en passer... - 401","Bundle Complet","—","Motion/Vidéo","Énergie quotidienne","Je ne peux plus m'en passer","Retargeting 30j","Septembre 2025","Retargeting 30j - Bundle Complet","Campagne Bundle Complet Septembre 2025","Arrêtée","2025-09-10","162662","186815","1.15","7156","314","589.74","38234.94","64.83","3.16","0.08","3.83","1.88","4.39","57.71","121.77","https://www.facebook.com/ads/library/?id=ad_538271","as_393812","ad_538271"
"Bundle Complet - Podcast - Ce que je prends chaque matin... - 402","Bundle Complet","Chris_Endurance","Podcast","Immunité renforcée","Ce que je prends chaque matin","25-34 ans Fitness","Novembre 2025","25-34 ans Fitness - Bundle Complet","Campagne Bundle Complet Novembre 2025","Arrêtée","2025-11-09","293647","411533","1.4","7689","457","4050.86","64009.66","15.8","9.84","0.53","1.87","8.86","5.94","18.3","140.06","https://www.facebook.com/ads/library/?id=ad_906321","as_492495","ad_906321"
"Bundle Complet - UGC - Le matin parfait commence par.... - 403","Bundle Complet","Marcus_Fit","UGC","Concentration mentale","Le matin parfait commence par...","Broad FR","Juillet 2025","Broad FR - Bundle Complet","Campagne Bundle Complet Juillet 2025","En ligne","2025-07-11","210191","254473","1.21","1742","195","3155.54","13041.44","4.13","12.4","1.81","0.68","16.18","11.19","18.44","66.88","https://www.facebook.com/ads/library/?id=ad_775959","as_453707","ad_775959"
"Vitamine D3+K2 - Image statique - Les 3 raisons pour lesquelles ... - 404","Vitamine D3+K2","Marcus_Fit","Image statique","Anti-fatigue","Les 3 raisons pour lesquelles j'adore","35-44 ans Santé","Septembre 2025","35-44 ans Santé - Vitamine D3+K2","Campagne Vitamine D3+K2 Septembre 2025","Archivée","2025-09-15","56347","70972","1.26","897","72","2942.56","7587.24","2.58","41.46","3.28","1.26","40.87","8.03","58.12","105.38","https://www.facebook.com/ads/library/?id=ad_850928","as_291108","ad_850928"
"Shaker - UGC - Le matin parfait commence par.... - 405","Shaker","Max_Performance","UGC","Anti-fatigue","Le matin parfait commence par...","Retargeting 30j","Novembre 2025","Retargeting 30j - Shaker","Campagne Shaker Novembre 2025","En ligne","2025-11-10","189102","314712","1.66","2507","314","734.40","19755.84","26.9","2.33","0.29","0.8","2.34","12.52","45.24","62.92","https://www.facebook.com/ads/library/?id=ad_319337","as_169796","ad_319337"
"AG1 Travel Packs - Podcast - Pourquoi j'ai changé d'avis su... - 406","AG1 Travel Packs","Marcus_Fit","Podcast","Santé digestive","Pourquoi j'ai changé d'avis sur les compléments","Intérêt Nutrition","Juillet 2025","Intérêt Nutrition - AG1 Travel Packs","Campagne AG1 Travel Packs Juillet 2025","Archivée","2025-07-07","76436","123328","1.61","1972","37","1785.26","4492.88","2.52","14.48","0.91","1.6","48.25","1.88","31.04","121.43","https://www.facebook.com/ads/library/?id=ad_271634","as_338962","ad_271634"
"AG1 Travel Packs - UGC - Mon secret énergie révélé... - 407","AG1 Travel Packs","Ava_Balance","UGC","Performance sportive","Mon secret énergie révélé","Retargeting 30j","Août 2025","Retargeting 30j - AG1 Travel Packs","Campagne AG1 Travel Packs Août 2025","Arrêtée","2025-08-09","225120","311917","1.39","1999","133","2492.96","11874.68","4.76","7.99","1.25","0.64","18.74","6.65","40.01","89.28","https://www.facebook.com/ads/library/?id=ad_585874","as_268275","ad_585874"
"AG1 Powder - Témoignage - Je ne peux plus m'en passer... - 408","AG1 Powder","Noah_Vitality","Témoignage","Concentration mentale","Je ne peux plus m'en passer","35-44 ans Santé","Novembre 2025","35-44 ans Santé - AG1 Powder","Campagne AG1 Powder Novembre 2025","En ligne","2025-11-15","353371","480502","1.36","14741","59","1749.15","7556.04","4.32","3.64","0.12","3.07","29.65","0.4","25.06","128.07","https://www.facebook.com/ads/library/?id=ad_759057","as_150981","ad_759057"
"Omega-3 - UGC - Les 3 raisons pour lesquelles ... - 409","Omega-3","Sophia_Wellness","UGC","Anti-fatigue","Les 3 raisons pour lesquelles j'adore","Intérêt Nutrition","Novembre 2025","Intérêt Nutrition - Omega-3","Campagne Omega-3 Novembre 2025","Archivée","2025-11-02","147768","221882","1.5","4867","592","1956.03","39992.34","20.45","8.82","0.4","2.19","3.3","12.16","22.56","67.55","https://www.facebook.com/ads/library/?id=ad_960716","as_648682","ad_960716"
"Bundle Complet - UGC - Pourquoi j'ai changé d'avis su... - 410","Bundle Complet","Marcus_Fit","UGC","Immunité renforcée","Pourquoi j'ai changé d'avis sur les compléments","LAL Purchasers","Novembre 2025","LAL Purchasers - Bundle Complet","Campagne Bundle Complet Novembre 2025","Arrêtée","2025-11-07","46730","65320","1.4","2514","183","3337.94","17918.25","5.37","51.1","1.33","3.85","18.24","7.28","23.88","97.91","https://www.facebook.com/ads/library/?id=ad_409896","as_841436","ad_409896"
"Omega-3 - Témoignage - Les 3 raisons pour lesquelles ... - 411","Omega-3","Marcus_Fit","Témoignage","Performance sportive","Les 3 raisons pour lesquelles j'adore","Intérêt Nutrition","Novembre 2025","Intérêt Nutrition - Omega-3","Campagne Omega-3 Novembre 2025","En pause","2025-11-19","347982","427139","1.23","439","57","1800.34","4141.63","2.3","4.21","4.1","0.1","31.58","12.98","44.81","72.66","https://www.facebook.com/ads/library/?id=ad_131084","as_717425","ad_131084"
"AG1 Powder - Motion/Vidéo - Le matin parfait commence par.... - 412","AG1 Powder","Noah_Vitality","Motion/Vidéo","Immunité renforcée","Le matin parfait commence par...","LAL Purchasers","Août 2025","LAL Purchasers - AG1 Powder","Campagne AG1 Powder Août 2025","En pause","2025-08-17","150175","177490","1.18","6883","567","1668.66","81786.77","49.01","9.4","0.24","3.88","2.94","8.24","23.98","144.24","https://www.facebook.com/ads/library/?id=ad_709519","as_531404","ad_709519"
"Shaker - UGC - 30 jours de transformation... - 413","Shaker","Ava_Balance","UGC","Immunité renforcée","30 jours de transformation","18-24 ans Étudiants","Juillet 2025","18-24 ans Étudiants - Shaker","Campagne Shaker Juillet 2025","Arrêtée","2025-07-03","41053","47951","1.17","2335","114","900.49","13096.61","14.54","18.78","0.39","4.87","7.9","4.88","25.05","114.88","https://www.facebook.com/ads/library/?id=ad_817642","as_893339","ad_817642"
"AG1 Travel Packs - UGC - Mon secret énergie révélé... - 414","AG1 Travel Packs","Ben_Recovery","UGC","Concentration mentale","Mon secret énergie révélé","35-44 ans Santé","Octobre 2025","35-44 ans Santé - AG1 Travel Packs","Campagne AG1 Travel Packs Octobre 2025","En ligne","2025-10-04","25534","33568","1.31","171","21","3929.00","2711.68","0.69","117.05","22.98","0.51","187.1","12.28","54.84","129.13","https://www.facebook.com/ads/library/?id=ad_246381","as_689760","ad_246381"
"Bundle Complet - Image statique - Pourquoi j'ai changé d'avis su... - 415","Bundle Complet","Olivia_Green","Image statique","Anti-fatigue","Pourquoi j'ai changé d'avis sur les compléments","25-34 ans Fitness","Octobre 2025","25-34 ans Fitness - Bundle Complet","Campagne Bundle Complet Octobre 2025","Archivée","2025-10-23","194582","311347","1.6","11598","456","2840.22","50931.05","17.93","9.12","0.24","3.73","6.23","3.93","22.93","111.69","https://www.facebook.com/ads/library/?id=ad_983168","as_112704","ad_983168"
"Shaker - Image statique - Le seul complément dont j'ai b... - 416","Shaker","Max_Performance","Image statique","Énergie quotidienne","Le seul complément dont j'ai besoin","18-24 ans Étudiants","Septembre 2025","18-24 ans Étudiants - Shaker","Campagne Shaker Septembre 2025","Archivée","2025-09-15","360079","412462","1.15","16840","1848","2570.10","201372.66","78.35","6.23","0.15","4.08","1.39","10.97","16.57","108.97","https://www.facebook.com/ads/library/?id=ad_865869","as_529035","ad_865869"
"Omega-3 - UGC - 30 jours de transformation... - 417","Omega-3","Emma_Health","UGC","Concentration mentale","30 jours de transformation","Intérêt Nutrition","Septembre 2025","Intérêt Nutrition - Omega-3","Campagne Omega-3 Septembre 2025","En ligne","2025-09-05","21587","25336","1.17","1238","182","2956.16","22001.04","7.44","116.68","2.39","4.89","16.24","14.7","42.56","120.88","https://www.facebook.com/ads/library/?id=ad_909830","as_106599","ad_909830"
"Vitamine D3+K2 - Motion/Vidéo - Les 3 raisons pour lesquelles ... - 418","Vitamine D3+K2","Noah_Vitality","Motion/Vidéo","Énergie quotidienne","Les 3 raisons pour lesquelles j'adore","Intérêt Nutrition","Août 2025","Intérêt Nutrition - Vitamine D3+K2","Campagne Vitamine D3+K2 Août 2025","En ligne","2025-08-07","318126","498741","1.57","1076","75","4010.86","4669.90","1.16","8.04","3.73","0.22","53.48","6.97","56.17","62.27","https://www.facebook.com/ads/library/?id=ad_821175","as_879820","ad_821175"
"Shaker - Image statique - Le matin parfait commence par.... - 419","Shaker","Lily_Nutrition","Image statique","Immunité renforcée","Le matin parfait commence par...","25-34 ans Fitness","Novembre 2025","25-34 ans Fitness - Shaker","Campagne Shaker Novembre 2025","En ligne","2025-11-25","198796","311971","1.57","7707","1088","3377.64","95389.64","28.24","10.83","0.44","2.47","3.1","14.12","17.75","87.67","https://www.facebook.com/ads/library/?id=ad_431704","as_172095","ad_431704"
"Omega-3 - Podcast - Les 3 raisons pour lesquelles ... - 420","Omega-3","Chris_Endurance","Podcast","Performance sportive","Les 3 raisons pour lesquelles j'adore","LAL Purchasers","Novembre 2025","LAL Purchasers - Omega-3","Campagne Omega-3 Novembre 2025","En ligne","2025-11-25","218513","289519","1.32","5410","297","3553.92","44059.27","12.4","12.28","0.66","1.87","11.97","5.49","54.85","148.35","https://www.facebook.com/ads/library/?id=ad_323714","as_961020","ad_323714"
"AG1 Powder - UGC - Je ne peux plus m'en passer... - 421","AG1 Powder","Ethan_Fuel","UGC","Énergie quotidienne","Je ne peux plus m'en passer","Intérêt Nutrition","Novembre 2025","Intérêt Nutrition - AG1 Powder","Campagne AG1 Powder Novembre 2025","En ligne","2025-11-13","314658","456093","1.45","7348","339","490.47","37573.09","76.61","1.08","0.07","1.61","1.45","4.61","46.99","110.84","https://www.facebook.com/ads/library/?id=ad_911644","as_576248","ad_911644"
"Bundle Complet - UGC - 30 jours de transformation... - 422","Bundle Complet","Ava_Balance","UGC","Énergie quotidienne","30 jours de transformation","Retargeting 30j","Juillet 2025","Retargeting 30j - Bundle Complet","Campagne Bundle Complet Juillet 2025","En pause","2025-07-17","106468","157895","1.48","4744","686","825.94","71884.82","87.03","5.23","0.17","3","1.2","14.46","50.94","104.79","https://www.facebook.com/ads/library/?id=ad_179709","as_714601","ad_179709"
"Shaker - UGC - Ce que je prends chaque matin... - 423","Shaker","Lucas_Active","UGC","Nutrition optimale","Ce que je prends chaque matin","35-44 ans Santé","Septembre 2025","35-44 ans Santé - Shaker","Campagne Shaker Septembre 2025","Archivée","2025-09-14","20348","32447","1.59","1085","2","562.75","227.10","0.4","17.34","0.52","3.34","281.37","0.18","23","113.55","https://www.facebook.com/ads/library/?id=ad_647066","as_666635","ad_647066"
"Vitamine D3+K2 - Podcast - Je ne peux plus m'en passer... - 424","Vitamine D3+K2","Sophia_Wellness","Podcast","Immunité renforcée","Je ne peux plus m'en passer","35-44 ans Santé","Octobre 2025","35-44 ans Santé - Vitamine D3+K2","Campagne Vitamine D3+K2 Octobre 2025","Arrêtée","2025-10-03","336473","426288","1.27","7396","756","3107.15","112333.91","36.15","7.29","0.42","1.73","4.11","10.22","37.87","148.59","https://www.facebook.com/ads/library/?id=ad_563148","as_338592","ad_563148"
"Abonnement - Témoignage - 30 jours de transformation... - 425","Abonnement","Max_Performance","Témoignage","Nutrition optimale","30 jours de transformation","Intérêt Nutrition","Septembre 2025","Intérêt Nutrition - Abonnement","Campagne Abonnement Septembre 2025","Arrêtée","2025-09-25","132875","174372","1.31","2709","295","606.23","22616.60","37.31","3.48","0.22","1.55","2.06","10.89","44.4","76.67","https://www.facebook.com/ads/library/?id=ad_842237","as_603355","ad_842237"
"AG1 Powder - Témoignage - Les 3 raisons pour lesquelles ... - 426","AG1 Powder","Max_Performance","Témoignage","Immunité renforcée","Les 3 raisons pour lesquelles j'adore","Retargeting 30j","Octobre 2025","Retargeting 30j - AG1 Powder","Campagne AG1 Powder Octobre 2025","En pause","2025-10-21","206861","333460","1.61","5821","239","1686.77","30662.18","18.18","5.06","0.29","1.75","7.06","4.11","32.01","128.29","https://www.facebook.com/ads/library/?id=ad_700242","as_471722","ad_700242"
"Vitamine D3+K2 - Motion/Vidéo - Ce que je prends chaque matin... - 427","Vitamine D3+K2","Chris_Endurance","Motion/Vidéo","Bien-être général","Ce que je prends chaque matin","18-24 ans Étudiants","Novembre 2025","18-24 ans Étudiants - Vitamine D3+K2","Campagne Vitamine D3+K2 Novembre 2025","Arrêtée","2025-11-10","151089","188980","1.25","4710","218","3354.74","29291.56","8.73","17.75","0.71","2.49","15.39","4.63","38.25","134.36","https://www.facebook.com/ads/library/?id=ad_450832","as_202733","ad_450832"
"Abonnement - Motion/Vidéo - Le matin parfait commence par.... - 428","Abonnement","—","Motion/Vidéo","Performance sportive","Le matin parfait commence par...","25-34 ans Fitness","Novembre 2025","25-34 ans Fitness - Abonnement","Campagne Abonnement Novembre 2025","En pause","2025-11-14","255004","420883","1.65","4074","256","4624.98","22159.80","4.79","10.99","1.14","0.97","18.07","6.28","35.23","86.56","https://www.facebook.com/ads/library/?id=ad_642390","as_868057","ad_642390"
"Omega-3 - Témoignage - Je ne peux plus m'en passer... - 429","Omega-3","Ben_Recovery","Témoignage","Performance sportive","Je ne peux plus m'en passer","Retargeting 30j","Août 2025","Retargeting 30j - Omega-3","Campagne Omega-3 Août 2025","Archivée","2025-08-11","282632","468076","1.66","6184","895","1639.84","133022.02","81.12","3.5","0.27","1.32","1.83","14.47","36.85","148.63","https://www.facebook.com/ads/library/?id=ad_614055","as_967843","ad_614055"
"Bundle Complet - Témoignage - Je ne peux plus m'en passer... - 430","Bundle Complet","—","Témoignage","Nutrition optimale","Je ne peux plus m'en passer","18-24 ans Étudiants","Novembre 2025","18-24 ans Étudiants - Bundle Complet","Campagne Bundle Complet Novembre 2025","En pause","2025-11-04","269309","393528","1.46","13205","241","4063.60","28527.75","7.02","10.33","0.31","3.36","16.86","1.83","47.8","118.37","https://www.facebook.com/ads/library/?id=ad_178297","as_722892","ad_178297"
"Shaker - Témoignage - Pourquoi j'ai changé d'avis su... - 431","Shaker","Sophia_Wellness","Témoignage","Anti-fatigue","Pourquoi j'ai changé d'avis sur les compléments","Intérêt Nutrition","Octobre 2025","Intérêt Nutrition - Shaker","Campagne Shaker Octobre 2025","En pause","2025-10-17","198524","238486","1.2","6804","166","212.85","23261.61","109.29","0.89","0.03","2.85","1.28","2.44","27.38","140.13","https://www.facebook.com/ads/library/?id=ad_284899","as_225353","ad_284899"
"Shaker - Image statique - Je ne peux plus m'en passer... - 432","Shaker","Chloe_Clean","Image statique","Bien-être général","Je ne peux plus m'en passer","25-34 ans Fitness","Juillet 2025","25-34 ans Fitness - Shaker","Campagne Shaker Juillet 2025","En pause","2025-07-25","152662","238110","1.56","4796","225","2191.84","24785.55","11.31","9.21","0.46","2.01","9.74","4.69","25.17","110.16","https://www.facebook.com/ads/library/?id=ad_352484","as_336896","ad_352484"
"Abonnement - Témoignage - Mon secret énergie révélé... - 433","Abonnement","Mia_Mindful","Témoignage","Performance sportive","Mon secret énergie révélé","Retargeting 30j","Septembre 2025","Retargeting 30j - Abonnement","Campagne Abonnement Septembre 2025","En ligne","2025-09-23","247672","296884","1.2","7185","515","4639.31","40786.03","8.79","15.63","0.65","2.42","9.01","7.17","27.44","79.20","https://www.facebook.com/ads/library/?id=ad_459292","as_978944","ad_459292"
"Shaker - Podcast - Mon secret énergie révélé... - 434","Shaker","Noah_Vitality","Podcast","Bien-être général","Mon secret énergie révélé","18-24 ans Étudiants","Septembre 2025","18-24 ans Étudiants - Shaker","Campagne Shaker Septembre 2025","Arrêtée","2025-09-23","405495","468441","1.16","4529","619","1485.74","54700.87","36.82","3.17","0.33","0.97","2.4","13.67","30.45","88.37","https://www.facebook.com/ads/library/?id=ad_943256","as_478831","ad_943256"
"Abonnement - UGC - Ce que je prends chaque matin... - 435","Abonnement","Mia_Mindful","UGC","Concentration mentale","Ce que je prends chaque matin","35-44 ans Santé","Octobre 2025","35-44 ans Santé - Abonnement","Campagne Abonnement Octobre 2025","Archivée","2025-10-23","251959","315814","1.25","14630","1784","4698.34","187230.41","39.85","14.88","0.32","4.63","2.63","12.19","39.29","104.95","https://www.facebook.com/ads/library/?id=ad_590980","as_498920","ad_590980"
"AG1 Travel Packs - Podcast - Les 3 raisons pour lesquelles ... - 436","AG1 Travel Packs","Mia_Mindful","Podcast","Concentration mentale","Les 3 raisons pour lesquelles j'adore","Broad FR","Octobre 2025","Broad FR - AG1 Travel Packs","Campagne AG1 Travel Packs Octobre 2025","Archivée","2025-10-14","363905","434080","1.19","4734","96","4655.59","14094.46","3.03","10.73","0.98","1.09","48.5","2.03","28.44","146.82","https://www.facebook.com/ads/library/?id=ad_105579","as_777335","ad_105579"
"AG1 Powder - Témoignage - 30 jours de transformation... - 437","AG1 Powder","Ethan_Fuel","Témoignage","Nutrition optimale","30 jours de transformation","45-54 ans Wellness","Juillet 2025","45-54 ans Wellness - AG1 Powder","Campagne AG1 Powder Juillet 2025","Arrêtée","2025-07-07","115037","173207","1.51","3552","71","3552.22","7276.51","2.05","20.51","1","2.05","50.03","2","47.79","102.49","https://www.facebook.com/ads/library/?id=ad_660870","as_201141","ad_660870"
"Vitamine D3+K2 - Image statique - Le matin parfait commence par.... - 438","Vitamine D3+K2","Sophia_Wellness","Image statique","Concentration mentale","Le matin parfait commence par...","LAL Purchasers","Juillet 2025","LAL Purchasers - Vitamine D3+K2","Campagne Vitamine D3+K2 Juillet 2025","En ligne","2025-07-25","315766","357082","1.13","16327","1950","4002.68","271063.33","67.72","11.21","0.25","4.57","2.05","11.94","42.54","139.01","https://www.facebook.com/ads/library/?id=ad_945267","as_432410","ad_945267"
"AG1 Powder - UGC - Les 3 raisons pour lesquelles ... - 439","AG1 Powder","Zoe_Energy","UGC","Concentration mentale","Les 3 raisons pour lesquelles j'adore","35-44 ans Santé","Octobre 2025","35-44 ans Santé - AG1 Powder","Campagne AG1 Powder Octobre 2025","Archivée","2025-10-16","38529","50200","1.3","134","20","3853.78","2013.36","0.52","76.77","28.76","0.27","192.69","14.93","48.13","100.67","https://www.facebook.com/ads/library/?id=ad_345547","as_765408","ad_345547"
"AG1 Travel Packs - Image statique - Le seul complément dont j'ai b... - 440","AG1 Travel Packs","—","Image statique","Immunité renforcée","Le seul complément dont j'ai besoin","45-54 ans Wellness","Août 2025","45-54 ans Wellness - AG1 Travel Packs","Campagne AG1 Travel Packs Août 2025","Arrêtée","2025-08-03","84414","132031","1.56","2389","144","4923.60","15930.92","3.24","37.29","2.06","1.81","34.19","6.03","53.16","110.63","https://www.facebook.com/ads/library/?id=ad_650892","as_970056","ad_650892"
